time,open,high,low,close,volume
192,93.69,95.08,93.09,94.85,1633
193,96.71,97.51,95.72,96.33,4971
194,97.18,97.88,96.19,97.54,1221
195,96.49,97.29,95.73,95.91,1746
196,96.59,97.12,96.06,96.96,1708
197,97.54,98.77,97.48,98.22,3307
198,97.9,99.73,97.57,99.03,1553
199,97.33,98.35,96.68,97.91,4658
200,96.28,97.24,95.68,95.96,4136
201,95.79,96.99,95.73,96.37,1607
202,96.23,96.33,95.56,96.06,4725
203,97.49,99.21,97.12,98.3,4461
204,96.83,96.85,95.13,96.09,1296
205,96.13,96.68,95.63,96.14,3613
206,97.87,98.26,96.82,97.45,1814
207,97.51,97.71,96.16,96.83,3116
208,98.35,98.96,97.49,98.66,2175
209,97.21,98.29,96.96,97.97,1315
210,99.77,101.05,99.66,100.09,2794
211,101.51,102.04,100.9,102.02,4473
212,102.28,103.02,101.55,102.63,4069
213,101.99,102.62,100.22,101.04,4962
214,102.48,102.89,101.57,102.01,3562
215,101.25,101.75,100.77,101.46,3872
216,102.53,103.15,101.57,101.94,3393
217,101.41,101.93,100.66,101.3,1590
218,101.86,103.11,101.47,102.44,3019
219,103.02,103.04,101.67,102.32,1701
220,103.81,104.06,102.78,102.91,3384
221,102.97,103.16,102.67,102.68,4025
222,104.56,105.49,103.66,104.78,4915
223,106.42,106.47,105.1,105.6,2382
224,104.42,104.98,103.25,104.16,3201
225,106.06,106.79,105.1,106.41,1741
226,107.77,108.1,107.23,107.59,3966
227,107.92,108.54,107.49,108.36,2399
228,109.47,111.34,109.45,110.63,1075
229,111.13,112.0,110.96,111.6,4898
230,109.98,110.17,109.33,109.58,1777
231,110.59,110.63,109.94,110.45,2953
232,109.77,109.93,107.95,108.9,4038
233,108.82,110.61,108.7,109.98,1446
234,109.83,110.56,108.96,110.21,4586
235,108.5,110.08,108.27,109.5,3276
236,108.06,108.22,106.52,107.39,2088
237,108.46,108.7,107.99,108.0,2053
238,107.49,108.37,106.92,107.16,4755
239,106.41,107.84,105.7,107.13,1323
240,108.22,109.33,107.71,108.68,2004
241,108.15,108.62,107.14,107.76,3276
242,107.5,108.29,106.34,106.4,1442
243,104.8,105.0,103.9,104.74,3168
244,105.61,106.16,103.77,104.43,4940
245,103.82,104.92,103.12,104.79,4604
246,105.06,105.93,104.36,105.35,4502
247,104.39,106.29,104.37,105.43,1368
248,104.53,104.79,103.86,104.53,4280
249,105.2,105.32,104.14,104.81,4207
250,106.77,107.6,106.18,107.06,2267
251,107.2,107.67,106.7,107.34,3632
252,108.82,109.29,108.62,109.0,1918
253,110.14,110.21,109.56,110.03,4545
254,109.02,109.72,108.46,108.77,3197
255,109.8,110.83,109.13,109.88,3253
256,110.25,111.53,110.14,110.81,3797
257,109.32,109.74,108.3,109.27,2888
258,110.16,111.04,109.11,109.25,2015
259,107.59,108.7,106.66,107.86,2383
260,106.41,107.87,106.33,107.43,4748
261,109.35,109.56,108.82,109.51,2519
262,109.21,110.01,108.35,109.97,1915
263,109.15,109.77,109.08,109.56,1892
264,111.05,111.91,109.95,110.25,2284
265,108.99,109.35,107.75,107.98,4895
266,108.9,109.06,108.49,108.78,3528
267,106.81,107.77,106.64,107.33,2213
268,106.58,108.01,105.85,107.23,1966
269,109.14,110.29,108.28,110.06,2492
270,109.23,111.24,108.81,110.36,4453
271,111.34,112.71,111.15,112.14,2883
272,113.45,114.01,112.18,112.31,1729
273,114.16,114.83,113.62,114.29,3122
274,112.31,113.47,111.37,113.22,3739
275,114.51,116.47,113.99,115.63,1744
276,116.4,117.39,115.56,117.3,3479
277,116.33,117.65,115.7,117.27,4045
278,117.29,117.47,115.93,116.13,2197
279,117.28,117.68,117.14,117.28,3498
280,117.26,118.95,116.54,118.41,4428
281,116.98,117.21,115.47,116.05,3874
282,115.35,115.56,113.66,114.33,1094
283,113.15,114.11,112.74,113.15,4132
284,114.55,115.95,113.73,115.05,4868
285,116.87,117.07,116.37,116.76,3325
286,116.96,117.07,116.48,116.67,1180
287,115.54,116.85,114.73,116.21,3174
288,117.91,118.17,116.91,117.2,3698
289,118.18,118.29,117.12,117.43,2067
290,117.17,117.5,115.78,116.17,4977
291,117.45,118.66,116.88,117.81,4916
292,117.68,118.81,117.53,118.32,4032
293,119.42,121.4,118.75,120.48,2486
294,119.31,120.58,118.48,119.87,4715
295,119.5,120.15,117.78,118.72,1908
296,117.96,118.71,117.06,117.64,2262
297,117.78,118.83,117.23,117.83,2233
298,116.98,117.63,116.17,116.71,2464
299,117.63,119.6,117.09,118.69,1177
300,118.82,120.73,118.14,119.78,2882
301,119.86,120.12,118.63,118.96,2701
302,118.05,118.24,116.49,117.29,4827
303,117.6,118.99,117.43,118.74,2107
304,118.4,119.38,118.12,118.4,3933
305,116.53,117.42,116.11,116.48,2457
306,115.96,117.82,115.1,116.84,4977
307,117.77,118.45,115.95,116.85,1730
308,118.48,118.67,117.36,118.06,4741
309,118.73,119.59,118.02,119.11,4072
310,120.55,121.69,119.64,121.46,3815
311,121.43,122.57,121.01,121.71,2456
312,122.74,122.79,122.09,122.71,1414
313,124.3,124.96,124.01,124.43,4755
314,126.08,126.37,124.92,125.05,4929
315,125.02,125.7,123.81,124.17,1280
316,124.69,125.3,124.62,125.09,1453
317,126.95,127.78,126.24,127.34,4920
318,128.14,129.07,128.08,128.18,1875
319,128.27,128.92,127.5,127.5,4898
320,127.69,127.81,126.53,126.87,3200
321,127.78,129.22,127.4,128.75,1754
322,128.03,128.96,126.31,127.17,1506
323,128.42,128.75,127.79,128.69,3195
324,126.96,127.69,126.6,127.08,3776
325,128.61,129.93,128.2,129.11,1222
326,127.32,127.48,125.41,126.27,4150
327,127.64,128.15,126.03,126.89,1336
328,128.42,129.07,127.64,128.66,4662
329,128.5,128.59,127.63,128.05,4047
330,129.9,130.81,128.61,128.96,1830
331,128.48,128.84,127.49,128.13,4087
332,129.22,130.72,128.76,129.98,2113
333,130.13,130.62,129.13,129.69,1311
334,129.91,131.05,129.5,130.87,3954
335,130.37,130.65,129.48,130.25,2522
336,131.91,132.82,131.33,131.93,2376
337,132.57,132.89,131.36,131.56,1311
338,133.27,134.11,132.34,133.77,3874
339,135.48,135.52,134.55,135.31,2835
340,137.01,137.47,135.65,135.96,2629
341,136.03,136.92,134.98,135.61,1551
342,136.24,137.14,134.38,135.29,1290
343,134.73,136.18,134.54,135.67,3516
344,135.18,136.65,134.97,136.34,1351
345,135.51,136.27,134.55,134.93,3368
346,136.24,137.48,136.11,137.43,3541
347,137.29,138.82,137.05,138.0,2554
348,138.61,139.03,137.8,138.97,2752
349,137.44,138.36,135.82,136.37,1708
350,135.74,137.02,135.36,136.75,3368
351,136.1,136.67,136.03,136.4,4200
352,136.09,136.76,134.76,135.01,1653
353,134.37,135.15,133.91,134.08,2392
354,133.31,134.88,132.78,134.47,4344
355,135.92,136.65,135.0,136.02,2042
356,137.48,138.8,137.23,138.08,4036
357,139.19,139.21,138.09,138.89,2868
358,137.06,137.48,136.94,137.41,1915
359,138.27,139.08,136.71,137.46,3194
360,139.01,139.61,137.39,137.9,1532
361,136.59,137.27,135.43,135.66,1809
362,135.64,137.36,135.17,136.47,2514
363,137.84,139.66,137.74,138.96,3308
364,139.98,141.13,139.36,140.77,1243
365,141.57,142.42,141.3,141.91,3199
366,143.59,143.62,143.07,143.55,3453
367,144.73,145.11,144.3,144.31,2488
368,143.28,143.64,142.57,142.7,2677
369,143.54,145.66,143.1,144.69,2951
370,145.67,146.18,144.64,145.57,1675
371,145.25,146.45,144.59,145.86,3897
372,146.32,147.72,145.96,147.19,2371
373,146.68,147.83,145.79,146.95,3232
374,146.23,146.99,145.3,145.68,1806
375,146.69,147.32,145.14,145.88,1758
376,147.61,149.19,146.83,148.38,4253
377,148.28,149.13,147.66,147.74,2319
378,148.83,149.45,147.02,147.88,4127
379,148.03,148.83,147.77,148.82,1263
380,149.03,150.29,148.62,150.15,1228
381,151.63,152.82,150.97,152.21,3162
382,152.7,153.98,152.56,153.82,1833
383,155.81,156.5,154.97,155.75,4576
384,153.76,154.54,153.65,154.05,2828
385,154.44,155.71,154.11,154.79,3618
386,156.53,157.19,155.55,156.75,1938
387,155.81,156.18,154.06,155.03,2122
388,155.44,156.86,155.12,156.58,1546
389,156.51,156.81,154.64,155.54,3390
390,155.15,155.79,154.38,155.13,2011
391,157.05,157.12,155.9,156.75,2199
392,156.14,156.34,154.35,155.11,2990
393,156.64,157.97,155.66,157.23,2747
394,158.6,159.62,158.12,159.26,4020
395,158.83,158.96,157.89,158.33,3059
396,158.2,159.1,157.74,158.19,3487
397,158.25,159.24,158.11,158.22,2545
398,156.5,156.76,156.48,156.72,3828
399,155.17,155.7,154.45,154.55,3491
400,156.23,157.01,154.41,155.16,4004
401,155.01,155.33,153.91,154.02,1483
402,155.72,155.89,155.5,155.58,4685
403,156.45,157.77,155.71,157.02,2103
404,158.45,158.76,157.24,157.53,4421
405,155.9,156.51,154.46,155.22,2620
406,155.07,156.0,154.13,154.92,2211
407,153.38,153.6,152.67,152.75,3604
408,154.2,154.89,153.59,154.01,4798
409,155.53,155.9,154.78,155.38,3399
410,154.2,154.66,153.92,154.18,4121
411,153.44,153.83,152.67,153.04,4592
412,153.41,155.0,152.46,154.61,4751
413,153.25,153.64,152.29,152.33,3187
414,151.33,151.92,150.79,151.28,2077
415,151.26,152.04,149.73,150.6,2380
416,150.5,151.34,150.39,150.7,3527
417,152.06,152.63,150.92,151.15,3439
418,150.09,150.46,149.86,150.28,3945
419,149.97,151.21,149.96,150.51,4299
420,150.67,151.31,149.65,150.55,3729
421,151.45,151.6,151.12,151.55,2004
422,150.85,151.1,149.37,149.65,1889
423,149.64,150.1,149.02,149.82,1589
424,148.39,148.82,146.77,147.48,4518
425,147.6,148.47,146.95,148.16,3306
426,149.53,150.59,148.93,149.87,4045
427,147.93,149.23,146.95,148.28,3787
428,148.81,150.05,148.46,149.63,1631
429,149.4,149.91,148.7,149.77,3240
430,150.79,151.57,150.16,150.58,4289
431,151.3,152.26,150.17,150.44,4830
432,151.61,151.62,150.13,150.66,1277
433,148.9,149.15,148.82,148.84,1258
434,149.33,150.33,148.93,149.67,1660
435,151.0,151.61,149.83,150.76,2482
436,149.0,149.8,148.99,149.52,4484
437,150.14,150.97,148.4,149.27,4247
438,148.15,149.48,148.09,149.19,2571
439,148.6,149.63,147.63,148.83,4156
440,149.23,151.21,148.5,150.4,3268
441,151.7,152.27,150.24,150.58,3939
442,151.75,152.72,151.09,151.58,1039
443,150.46,152.16,149.91,151.44,1389
444,152.47,153.25,152.15,152.33,3422
445,151.35,151.62,150.77,150.93,3481
446,149.97,151.15,149.23,151.12,1386
447,152.77,154.25,152.68,153.77,4887
448,154.3,155.5,153.87,154.97,1762
449,155.21,156.35,154.72,155.54,4317
450,154.18,154.86,154.05,154.21,1925
451,152.73,152.98,151.43,152.32,1311
452,153.83,155.54,153.78,154.89,1884
453,156.77,157.97,156.66,157.25,2199
454,159.22,160.1,159.05,159.83,1920
455,161.39,161.6,160.51,161.2,1127
456,161.13,161.7,160.71,160.81,4269
457,158.99,160.21,158.21,159.69,3920
458,161.13,162.03,159.2,159.95,4632
459,158.89,159.2,158.74,159.08,4824
460,158.72,159.57,158.6,159.22,2378
461,159.04,159.33,157.56,158.35,1683
462,156.87,158.73,156.2,157.94,4188
463,157.08,157.29,156.42,156.95,1367
464,156.72,157.8,156.24,157.25,4304
465,158.72,159.82,158.66,159.8,1899
466,158.3,158.86,157.34,158.07,1279
467,157.02,157.74,155.52,156.23,1539
468,156.49,157.19,156.28,156.54,1914
469,155.82,156.64,155.04,156.23,3404
470,156.52,156.69,155.44,155.65,1620
471,153.97,154.6,152.73,152.9,1387
472,152.53,153.01,152.0,152.81,3944
473,154.79,155.34,154.72,155.3,2470
474,156.73,156.89,155.95,156.73,4436
475,155.46,155.78,153.45,154.39,1631
476,156.16,157.1,155.59,155.93,4123
477,155.43,155.67,154.91,155.66,3063
478,155.85,156.2,155.56,155.96,2260
479,154.55,155.39,154.11,154.17,3838
480,153.01,154.12,152.69,153.82,3672
481,154.01,154.04,152.25,152.82,4917
482,151.02,152.09,150.5,151.38,2505
483,149.71,150.42,149.57,149.9,4735
484,149.29,149.76,148.55,148.77,4840
485,150.14,150.81,149.02,149.99,3028
486,148.84,150.34,148.22,149.94,4322
487,148.57,149.26,148.47,148.99,4828
488,150.36,151.54,150.24,151.26,4113
489,150.36,151.28,150.21,150.37,2732
490,151.5,152.4,151.19,152.3,2717
491,153.78,154.71,153.43,153.75,2881
492,153.03,153.55,151.96,152.8,1801
493,150.9,151.88,149.64,149.84,4756
494,150.93,151.34,150.51,150.88,2634
495,151.87,151.95,151.64,151.95,1611
496,152.96,153.53,151.61,152.17,4488
497,150.19,151.01,148.81,149.35,3677
498,148.6,148.83,146.61,147.43,3050
499,147.81,147.93,146.66,147.5,4197
